gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir,price_ajogar,stock_ajogar,price_saltadacaixa,stock_saltadacaixa,price_jubilantsunday,stock_jubilantsunday,price_mathom,stock_mathom,price_padis,stock_padis,price_masqueoca,stock_masqueoca,price_jugamosotra,stock_jugamosotra,price_empiregames,stock_empiregames,price_philibertnet,stock_philibertnet
Dice Forge EN,gameplay.pt,49.99,ltimaunidade em stock,,,,,49.99,ltimaunidade em stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95,this product is no longer in stock
Dice Forge PT/ES,juegosdelamesaredonda.com,35.96,enreposicin,,,,,39.99,restock,35.96,enreposicin,42.29,disponvel,,,39.95, fuera de stock,,,35.99,nodisponible,,,,,,,,,47.95,em stock,,,,,,,,Unknown,39.95,en stock recbelo en 2448 horas,,,,
Dice Forge FR,www.philibertnet.com,42.95,prcommande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.95,prcommande
Fantastic Factories,www.saltadacaixa.pt,35.95,em stock,,,,,40.95,ltimaunidade em stock,,,,,,,39.99, fuera de stock,47.20,apenas1 em stock,,,,,,,,,,,35.95,em stock,,,,,,,,,,,,,39.00,this product is no longer in stock
Fast Sloths,jubilantsunday.com,33.00,em stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,em stock,,,,,,,,,,,,
Five Tribes EN,dracotienda.com,48.95, fuera de stock,,,67.95,deliveryin 1 to 2 weeks time,59.95,emstock,54.95,enreposicin,,,,,48.95, fuera de stock,,,48.83,nodisponible,,,,,,,,,,,,,,,,,,,,,,,50.95,this product is no longer in stock
Five Tribes ES,mathom.es,40.00,thisproduct is no longer in stock,,,,,49.99,restock,42.46,enreposicin,,,,,45.00, fuera de stock,,,45.00,nodisponible,,,,,,,,,,,,,40.00,thisproduct is no longer in stock,,,44,99,Unknown,44.95,agotado consultar disponibilidad,,,,
Five Tribes FR,www.philibertnet.com,55.00,disponible,,,,,,,,,,,,,,,56.33,emstock,,,,,,,,,,,,,,,,,,,,,,,,,55.00,disponible
Flash Point: Fire Rescue,www.masqueoca.com,31,5,Unknown,,,,,48.95,emstock,,,,,,,32.95, fuera de stock,50.81,,32.39,nodisponible,,,,,,,,,,,,,,,,,31,5,Unknown,,,,,44.95,disponible
Grand Austria Hotel EN,juegosdelamesaredonda.com,32.90,enreposicin,,,,,72.99,emstock,32.90,enreposicin,,,,,,,,,,,,,,,,,,,,,38.44,esgotado,,,,,,,,,,,68.95,this product is no longer in stock
Grand Austria Hotel ES,mathom.es,40.00,thisproduct is no longer in stock,,,,,,,49.95,enreposicin,,,,,45.00, ltimas unidades en stock,,,45.00,nodisponible,,,,,,,,,,,,,40.00,thisproduct is no longer in stock,,,,,44.95,en stock recbelo en 2448 horas,,,,
Great Western Trail EN,www.saltadacaixa.pt,49.95,em stock,,,,,55.99,emstock,,,,,,,,,,,,,,,,,,,,,49.95,em stock,,,,,,,,,,,,,,
Great Western Trail ES,www.philibertnet.com,40.50,available,,,,,55.99,emstock,49.45,enstock,,,,,49.50, disponible,,,49.50,nodisponible,,,,,,,,,,,,,49.50,,,,49,5,Unknown,49.50,en stock recbelo en 2448 horas,,,40.50,available
Great Western Trail: Rails to the North,dracotienda.com,35.99, disponible,,,,,39.99,emstock,35.96,enstock,,,,,35.99, disponible,43.69,emstock,35.99,ltimasunidades en stock,,,,,,,36.98,,,,,,35.16,,,,,,35.95,en stock recbelo en 2448 horas,,,,
Harry Potter: Catch the Snitch,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hive,www.planetongames.com,14.95,nodisponible,,,,,22.99,emstock,19.95,enreposicin,,,,,,,15.24,,14.95,nodisponible,,,,,,,,,22.95,esgotado,,,,,,,,,15.00,agotado consultar disponibilidad,,,19.95,available
Machi Koro 2,juegosdelamesaredonda.com,24.25,enreposicin,,,,,33.95,restock,24.25,enreposicin,,,,,,,,,,,,,,,,,24.28,,30.95,esgotado,,,,,,,,,,,,,28.95,this product is no longer in stock
Moonrakers (69$),,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Zoo EN,dracotienda.com,31.50, fuera de stock,,,,,35.90,restock,,,,,,,31.50, fuera de stock,,,,,,,,,,,33.99,,36.95,em stock,,,,,,,,,,,,,,available
New York Zoo ES,mathom.es,17.50,thisproduct is no longer in stock,,,,,,,29.71,enreposicin,,,,,,,23.62,enstock,31.50,nodisponible,,,,,,,,,,,,,17.50,thisproduct is no longer in stock,,,31,45,Unknown,31.49,en stock recbelo en 2448 horas,,,29.90,this product is no longer in stock
Obsession,www.philibertnet.com,79.95,available,,,,,87.95,emstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.95,available
Port Royal: Big Box EN,jubilantsunday.com,21.40,em stock,,,,,24.99,emstock,,,,,,,,,,,,,,,,,,,,,25.95,esgotado,21.40,em stock,,,,,,,,,,,28.95,available
Port Royal: Big Box PT,www.diver.pt,29.99,disponvel,,,,,,,,,29.99,disponvel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders of the North Sea,www.amazon.es,53.10,enstock,,,54.95,deliveryin 1 to 2 weeks time,62.95,restock,,,,,,,59.95, ltimas unidades en stock,53.10,enstock,,,,,,,,,,,60.95,em stock,,,,,,,,,,,,,69.95,this product is no longer in stock
Rival Restaurants,www.philibertnet.com,54.95,this product is no longer in stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.95,this product is no longer in stock
Rocketmen,jubilantsunday.com,29.16,em stock,,,,,,,,,,,,,31.45, ltimas unidades en stock,,,,,,,34.90,          em stock          ,,,,,34.95,em stock,29.16,em stock,,,,,,,,,,,31.95,this product is no longer in stock
Space Base: Command Station,dracotienda.com,35.99, fuera de stock,,,,,49.95,ltimaunidade em stock,44.95,enreposicin,,,,,35.99, fuera de stock,54.96,enstock,,,,,,,,,,,,,,,,,,,,,,,,,48.50,available
Summer Camp,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiny Towns,jubilantsunday.com,34.18,em stock,,,44.95,deliveryin 1 to 2 weeks time,50.95,ltimaunidade em stock,,,,,,,35.99, fuera de stock,52.68,en stock ,,,,,,,,,,,39.95,esgotado,34.18,em stock,,,,,,,,,,,,
Troyes,jubilantsunday.com,40.52,em stock,,,,,44.07,restock,49.45,enstock,,,,,54.99, disponible,53.97,envoen 2 a 3 das,54.99,nodisponible,,,,,,,,,,,40.52,em stock,48.39,,,,,Unknown,44.95,agotado consultar disponibilidad,,,42.90,disponible
Tungaru,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wingspan: Oceania Expansion EN,gameplay.pt,27.99,emstock,,,,,27.99,emstock,,,,,,,,,,,,,,,31.90,          em stock          ,,,,,,,,,,,,,,,,,,,,
Wingspan: Oceania Expansion,jubilantsunday.com,24.74,em stock,,,,,,,,,34.19,disponvel,,,,,33.59,enstock,,,,,,,,,26.95,,30.95,em stock,24.74,em stock,,,,,,,,,,,28.95,this product is no longer in stock
LOVE TO HAVE,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Wonders EN,gameplay.pt,44.95,restock,,,54.95,deliveryin 1 to 2 weeks time,44.95,restock,,,44.99,disponvel,,,,,,,,,,,50.90,          em stock          ,,,,,45.95,esgotado,,,,,,,,,,,,,44.95,this product is no longer in stock
7 Wonders ES,juegosdelamesaredonda.com,40.76,enstock,,,,,,,40.76,enstock,,,,,47.99, disponible,49.78,enstock,47.99,ltimasunidades en stock,,,,,,,,,,,,,42.23,,45.73,,,Unknown,44.95,en stock recbelo en 2448 horas,,,42.95,available
Akropolis,www.philibertnet.com,26.90,available,,,,,32.95,emstock,29.66,enstock,,,,,29.65, disponible,,,,,,,31.90,          em stock          ,,,34.95,,32.95,em stock  ,,,29.66,,33.54,,,,29.65,en stock recbelo en 2448 horas,,,26.90,available
Anachrony,mathom.es,52.00,thisproduct is no longer in stock,,,62.28,deliveryin 1 to 2 weeks time,61.99,restock,55.21,enstock,,,,,58.50, disponible,71.14,sloquedan 1 en stock,58.50,ltimasunidades en stock,,,,,,,55.00,,,,,,52.00,thisproduct is no longer in stock,,,58,5,Unknown,,,,,55.95,this product is no longer in stock
Ark Nova,dracotienda.com,55.95, fuera de stock,,,74.95,instock,69.41,emstock,,,71.99,esgotadoem prencomenda,,,55.95, fuera de stock,87.12,      ,,,,,65.90,          em stock          ,,,,,69.95,esgotado,59.26,em stock,,,,,,,,,,,74.90,available
Architects of the West Kingdom EN,www.ajogar.com,44.90,,,,67.95,deliveryin 1 to 2 weeks time,59.95,ltimaunidade em stock,,,,,,,61.99, ltimas unidades en stock,,,,,,,53.90,          em stock          ,,,44.90,,67.95,em stock,,,,,,,,,,,,,,
Architects of the West Kingdom PT,gameplay.pt,45.95,restock,,,,,45.95,restock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95,this product is no longer in stock
BANG! The bullet,www.philibertnet.com,37.95,disponible,,,,,46.99,emstock,,,,,,,,,37.98,en stock ,,,,,,,,,,,,,,,,,,,,,,,,,37.95,disponible
Bärenpark,juegosdelamesaredonda.com,30.60,enreposicin,,,,,39.95,ltimaunidade em stock,30.60,enreposicin,49.49,disponvel,,,,,,,,,,,,,,,,,44.95,em stock,,,,,,,,,,,,,39.95,available
Beez,dracotienda.com,39.99, ltimas unidades en stock,,,,,44.95,ltimaunidade em stock,,,,,,,39.99, ltimas unidades en stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between Two Castles of Mad King Ludwig,mathom.es,13.50,thisproduct is no longer in stock,,,44.95,deliveryin 1 to 2 weeks time,46.95,restock,,,,,,,,,40.57,slo quedan 2 en stock ,31.50,nodisponible,,,,,,,,,45.95,em stock,,,13.50,thisproduct is no longer in stock,,,,,,,,,41.90,this product is no longer in stock
Brass: Birmingham,juegosdelamesaredonda.com,53.91,enreposicin,,,89.95,deliveryin 1 to 2 weeks time,84.95,emstock,53.91,enreposicin,75.59,encomendaao fornecedor,,,,,95.09,en stock ,,,,,77.90,          em stock          ,,,59.90,,71.95,esgotado,57.16,esgotado,,,,,,,,,,,82.95,this product is no longer in stock
Brass: Birmingham ES,mathom.es,48.00,thisproduct is no longer in stock,,,,,,,50.96,enreposicin,,,,,54.00, disponible,,,54.00,nodisponible,,,,,,,,,,,,,48.00,thisproduct is no longer in stock,,,53,99,Unknown,53.94,en stock recbelo en 2448 horas,,,62.95,available
Café,mathom.es,16.00,thisproduct is no longer in stock,,,,,19.95,emstock,18.66,enstock,17.99,encomendaao fornecedor,,,19.80, disponible,22.73,enstock,18.00,nodisponible,,,,,,,19.95,,17.95,em stock  ,,,16.00,thisproduct is no longer in stock,,,,,17.94,en stock recbelo en 2448 horas,,,20.95,available
Cat in the Box: Deluxe Edition,gameplay.pt,39.99,emstock,,,,,39.99,emstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century: Spice Road,mathom.es,31.49,,,,,,43.99,emstock,35.96,enreposicin,,,,,34.99, disponible,41.92,envoen 2 a 3 das,,,,,,,39.99,       avisame    ,39.90,,,,,,31.49,,,,,,,,,,33.95,this product is no longer in stock
Chinatown,www.diver.pt,49.49,encomendaao fornecedor,,,,,59.99,emstock,,,49.49,encomendaao fornecedor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citadels,jubilantsunday.com,29.95,em stock,,,39.95,instock,34.95,restock,,,,,,,,,29.90,slo quedan 1 en stock ,,,,,,,,,,,,,29.95,em stock,,,,,,,,,,,32.95,this product is no longer in stock
Coimbra,gameplay.pt,49.95,emstock,,,,,49.95,emstock,,,71.99,disponivel,,,,,52.27,en stock ,,,,,,,,,,,,,,,,,,,,,,,,,,
Concept,www.ajogar.com,29.90,,,,39.95,deliveryin 1 to 2 weeks time,34.99,restock,,,31.49,disponvel,,,,,,,,,,,,,,,29.90,,,,,,,,,,,,,,,,29.90,this product is no longer in stock
Crisis,juegosdelamesaredonda.com,53.96,enreposicin,,,,,,,53.96,enreposicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubitos,www.saltadacaixa.pt,54.95,esgotado,,,,,63.99,emstock,,,,,,,,,,,,,,,,,,,,,54.95,esgotado,,,,,,,,,,,,,58.50,available
Décorum,www.philibertnet.com,52.90,available,,,,,,,,,,,,,,,65.20,envoen 4 a 5 das,,,,,,,,,,,,,,,,,,,,,,,,,52.90,available
Dice Manor,www.philibertnet.com,53.90,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.90,available
Everdell EN,juegosdelamesaredonda.com,61.16,enreposicin,,,69.95,deliveryin 1 to 2 weeks time,73.95,esgotado,61.16,enreposicin,67.49,encomendaao fornecedor,,,,,70.41,enstock,,,,,69.90,          em stock          ,,,,,,,,,,,,,,,,,,,72.50,available
Everdell PT,www.ajogar.com,48.00,,,,,,59.99,emstock,,,,,,,49.50, fuera de stock,,,,,,,,,,,48.00,,54.95,em stock,,,,,,,,,,,,,,
Everdell Complete Collection,gameplay.pt,339.95,emstock,,,,,339.95,emstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution: Climate (check "Nature" b4 buying),dracotienda.com,54.95, fuera de stock,,,,,79.95,ltimaunidade em stock,62.95,enreposicin,,,,,54.95, fuera de stock,,,,,,,,,,,,,,,,,,,,,,,,,,,75.95,disponible
Hanabi,jugamosotra.com,19.94,en stock recbelo en 2448 horas,,,,,,,22.46,enstock,,,,,24.99, disponible,23.59,enstock,24.99,nodisponible,,,,,,,,,,,,,22.49,,,,,Unknown,19.94,en stock recbelo en 2448 horas,,,,
Imhotep,gameplay.pt,39.99,restock,,,,,39.99,restock,,,,,,,,,43.43,sloquedan 2 en stock,,,,,,,,,39.95,,,,,,,,,,,,,,,,46.95,available
Imperium: Classics,www.planetongames.com,32.39,nodisponible,,,,,39.99,emstock,35.95,enreposicin,,,,,39.95, ltimas unidades en stock,37.95,sloquedan 1 en stock,32.39,nodisponible,,,39.90,          em stock          ,,,,,,,,,,,,,,,,,,,,
Infinity Gauntlet: A Love Letter Game,jubilantsunday.com,13.95,em stock,,,,,21.99,emstock,,,,,,,,,20.32,en stock ,,,,,17.90,          em stock          ,,,,,21.95,em stock,13.95,em stock,,,,,,,,,,,,
Junk Art ES,www.planetongames.com,35.96,nodisponible,,,,,,,39.95,enreposicin,,,,,,,,,35.96,nodisponible,,,,,,,,,,,,,,,,,,,,,,,,
Junk Art EN,www.planetongames.com,63.86,nodisponible,,,,,69.95,ltimaunidade em stock,,,,,,,,,,,63.86,nodisponible,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Fruits,www.ajogar.com,29.90,,,,,,,,31.46,enreposicin,,,,,,,,,,,,,,,,,29.90,,,,,,,,,,,,,,,,,
Kingdomino Origins,juegosdelamesaredonda.com,23.76,enreposicin,,,,,27.95,ltimaunidade em stock,23.76,enreposicin,,,,,25.15, disponible,33.41,enstock,,,,,,,,,,,27.95,em stock  ,,,25.16,,,,,,25.10,en stock recbelo en 2448 horas,,,27.50,available
Last Will,www.planetongames.com,31.46,nodisponible,,,,,35.95,restock,34.19,enreposicin,,,,,37.95, fuera de stock,36.81,enstock,31.46,nodisponible,,,,,,,,,35.95,em stock  ,,,31.46,thisproduct is no longer in stock,,,,,,,,,36.00,this product is no longer in stock
Linko!,www.philibertnet.com,10.50,this product is no longer in stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50,this product is no longer in stock
Lost Cities,jugamosotra.com,17.45,en stock recbelo en 2448 horas,,,,,20.99,restock,19.96,enstock,,,,,22.50, disponible,,,22.50,nodisponible,,,,,,,,,,,,,22.50,,,,22,49,Unknown,17.45,en stock recbelo en 2448 horas,,,21.00,disponible
Luxor EN,juegosdelamesaredonda.com,34.15,enreposicin,,,,,44.99,esgotado,34.15,enreposicin,,,,,36.95, fuera de stock,76.42,enstock,,,,,44.90,          em stock          ,,,,,,,,,,,,,,,,,,,45.95,this product is no longer in stock
Luxor ES,www.planetongames.com,40.50,nodisponible,,,,,,,44.95,enreposicin,,,,,45.00, fuera de stock,,,40.50,nodisponible,,,,,,,,,,,,,,,,,,,,,,,,
Masters of Mutanite (50$),,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 1901,www.ajogar.com,29.90,,,,,,35.00,,31.49,enstock,,,,,31.50, disponible,,,31.50,productoen stock,,,,,,,29.90,,34.95,em stock  ,,,31.49,,,,31,5,Unknown,30.94,en stock recbelo en 2448 horas,,,,
Oceans (check "Nature" b4 buying),gameplay.pt,54.99,ltimaunidade em stock,,,,,54.99,ltimaunidade em stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.50,this product is no longer in stock
Oh My Goods!,www.ajogar.com,10.90,,,,,,16.95,emstock,13.46,enstock,,,,,13.49, disponible,15.24,enstock,13.49,ltimasunidades en stock,,,,,,,10.90,,14.95,esgotado,,,11.69,,15.24,,13,49,Unknown,10.45,en stock recbelo en 2448 horas,,,13.95,this product is no longer in stock
Orléans EN,juegosdelamesaredonda.com,40.50,enreposicin,,,,,49.95,restock,40.50,enreposicin,,,,,44.95, ltimas unidades en stock,,,,,,,,,,,,,49.95,em stock,,,,,,,,,,,,,46.50,disponible
Orléans (Others),www.masqueoca.com,24,97,Unknown,,,,,,,44.96,enreposicin,,,,,44.95, fuera de stock,36.26,enstock,44.96,nodisponible,,,,,,,,,,,,,,,,,24,97,Unknown,42.45,agotado consultar disponibilidad,,,49.90,disponible
PARKS,www.philibertnet.com,44.90,available,,,,,52.95,restock,,,,,,,,,,,,,,,,,,,,,54.95,em stock,,,,,,,,,,,,,44.90,available
Pipeline,dracotienda.com,46.79, fuera de stock,,,,,69.99,emstock,59.59,enreposicin,,,,,46.79, fuera de stock,,,,,,,,,,,,,,,56.99,esgotado,,,,,,,,,,,63.95,this product is no longer in stock
Power Grid,dracotienda.com,29.95, fuera de stock,,,,,53.95,emstock,,,49.49,esgotadoem prencomenda,,,29.95, fuera de stock,40.61,enstock,39.99,nodisponible,,,,,,,,,,,33.92,em stock,,,,,,Unknown,,,,,,
The Quacks of Quedlinburg: The Herb Witches,gameplay.pt,29.99,esgotado,,,,,29.99,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Res Arcana,juegosdelamesaredonda.com,31.46,enreposicin,,,39.95,deliveryin 1 to 2 weeks time,39.95,emstock,31.46,enreposicin,,,,,,,51.45,slo quedan 3 en stock ,,,,,,,,,38.90,,,,,,,,,,,,,,,,34.95,this product is no longer in stock
Revolver Noir,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll for the Galaxy,www.masqueoca.com,49,99,Unknown,,,,,65.95,ltimaunidade em stock,,,,,,,59.99, ltimas unidades en stock,59.95,enstock,53.96,nodisponible,,,61.90,          em stock          ,,,,,,,,,,,,,49,99,Unknown,,,,,56.95,this product is no longer in stock
Royals,www.ajogar.com,44.90,,,,,,,,,,,,,,,,,,,,,,,,,,44.90,,,,,,,,,,,,,,,,,
Secret Hitler,www.philibertnet.com,44.95,available,,,,,54.95,restock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95,available
Silver & Gold,www.philibertnet.com,11.90,this product is no longer in stock,,,,,12.99,emstock,,,,,,,,,21.84,enstock,,,,,,,,,,,20.95,em stock,,,,,,,,,,,,,11.90,this product is no longer in stock
Splendor: Marvel EN,jubilantsunday.com,28.30,em stock,,,,,39.95,emstock,,,,,,,34.95, fuera de stock,42.73,enstock,,,,,37.90,          em stock          ,,,,,,,28.30,em stock,,,,,,,,,,,37.50,this product is no longer in stock
Splendor: Marvel (Others),juegosdelamesaredonda.com,35.96,enstock,,,,,,,35.96,enstock,,,,,39.99, disponible,,,39.95,nodisponible,,,,,,,,,,,,,35.19,,,,,,39.95,en stock recbelo en 2448 horas,,,36.95,available
Stack'n Stuff: A Patchwork Game,gameplay.pt,24.99,emstock,,,,,24.99,emstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Park,juegosdelamesaredonda.com,35.16,enreposicin,,,,,,,35.16,enreposicin,,,,,,,42.84,envoen 2 a 3 das,44.09,ltimasunidades en stock,,,,,,,,,,,,,,,,,,,,,,,,
Stone Age PT,www.planetongames.com,35.96,nodisponible,,,,,44.99,emstock,36.00,enreposicin,40.49,disponivel,,,,,,,35.96,nodisponible,,,,,44.99,adicionarao carrinho,,,44.95,em stock  ,,,,,,,,,,,,,,
Stone Age (OTHERS),mathom.es,39.60,,,,,,44.99,emstock,40.45,enstock,40.49,disponivel,,,40.50, disponible,44.95,sloquedan 5 en stock,40.49,productoen stock,,,,,44.99,adicionarao carrinho,,,44.95,em stock  ,,,39.60,,45.73,,40,5,Unknown,40.45,en stock recbelo en 2448 horas,,,,
Strike,www.philibertnet.com,17.95,disponible,,,,,,,23.36,enreposicin,,,,,,,26.60,enstock,,,,,,,,,19.90,,,,,,25.16,,,,20,65,Unknown,19.95,agotado consultar disponibilidad,,,17.95,disponible
Harry Potter Strike Dice Game,juegosdelamesaredonda.com,24.25,enreposicin,,,,,25.46,emstock,24.25,enreposicin,,,,,,,24.75,en stock ,,,,,,,,,,,,,,,25.16,,,,25,15,Unknown,,,,,,
Thanos Rising: Avengers Infinity War,jubilantsunday.com,44.64,em stock,,,,,,,51.95,enreposicin,,,,,49.95, fuera de stock,52.80,sloquedan 3 en stock,,,,,,,,,,,,,44.64,em stock,,,,,,,,,,,,
The Crew: Mission Deep Sea,www.ajogar.com,15.89,,,,,,20.95,restock,,,,,,,,,17.95,envoen 5 a 6 das,,,,,,,,,15.89,,19.95,em stock,,,,,,,,,,,,,,
The Quest for El Dorado,gameplay.pt,49.95,emstock,,,,,49.95,emstock,,,,,,,,,52.80,enstock,,,,,,,,,,,,,,,,,,,,,,,,,,
Tichu,juegosdelamesaredonda.com,8.95,enstock,,,,,,,8.95,enstock,,,,,9.91, ltimas unidades en stock,17.47,enstock,,,,,,,,,,,,,10.18,em stock,,,,,,,,,,,10.95,disponible
Ticket to Ride: Europe PT,versusgamecenter.pt,47.90,          em stock          ,,,59.95,deliveryin 1 to 2 weeks time,49.95,emstock,,,,,,,,,,,,,,,47.90,          em stock          ,,,,,,,,,,,,,,,,,,,,
Ticket to Ride: Europe EN,www.planetongames.com,40.46,nodisponible,,,,,49.95,restock,,,44.99,disponivel,,,,,47.76,sloquedan 1 en stock,42.26,nodisponible,,,,,,,44.95,,,,,,,,48.78,,,Unknown,,,,,44.95,this product is no longer in stock
Tidal Blades: Banner Festival,juegosdelamesaredonda.com,32.36,enstock,,,,,,,32.36,enstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.90,available
Tokaido EN,www.philibertnet.com,39.99,this product is no longer in stock,,,,,42.99,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.99,this product is no longer in stock
Tokaido FR/ES,www.padis-store.com,26.24,,,,,,,,31.46,enstock,,,,,34.99, disponible,35.57,sloquedan 1 en stock hay ms unidades en camino,34.99,nodisponible,,,,,,,,,,,,,31.49,,26.24,,35,99,Unknown,34.95,en stock recbelo en 2448 horas,,,35.90,this product is no longer in stock
Viscounts of the West Kingdom EN,www.saltadacaixa.pt,55.95,em stock,,,59.95,deliveryin 1 to 2 weeks time,60.95,emstock,,,,,,,,,,,,,,,,,,,,,55.95,em stock,,,,,,,,,,,,,,
Viscounts of the West Kingdom PT,gameplay.pt,49.95,ltimaunidade em stock,,,,,49.95,ltimaunidade em stock,,,,,,,49.99, fuera de stock,,,,,,,,,,,,,,,,,,,,,,,,,,,56.00,this product is no longer in stock
Warsaw: City of Ruins (20$),,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKE TO HAVE,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altiplano,www.saltadacaixa.pt,44.95,em stock,,,,,49.90,ltimaunidade em stock,51.26,enreposicin,,,,,44.96, fuera de stock,,,44.96,nodisponible,,,,,,,,,44.95,em stock,,,,,,,,,44.90,en stock recbelo en 2448 horas,,,46.50,available
