gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir,price_ajogar,stock_ajogar,price_saltadacaixa,stock_saltadacaixa,price_jubilantsunday,stock_jubilantsunday
Crisis,jogonamesa.pt,58.22,em 30 dias,58.22,em 30 dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubitos,jogonamesa.pt,45.93,esgotado,45.93,esgotado,,,63.99,restock,46.71,en stock,,,64.99, esgotado,49.50,  disponible,,,,,59.90,only 1 left in stock,,,,,,,54.95,esgotado,,
Divvy Dice,jogonamesa.pt,11.26,em 9 dias,11.26,em 9 dias,,,13.99,ltima unidade em stock,19.76,en reposicin,,,,,,,,,,,,,,,,,,,,,,
Everdell,www.ajogar.com,48.00,esgotado,51.28,em 22 dias,69.95,delivery in 1 to 2 weeks time,54.99,em stock,61.16,en reposicin,67.49,disponvel,74.99, ltimos artigos em stock,,,62.29,em stock,,,62.90,out of stock,,,,,48.00,esgotado,54.95, em stock  ,,
Evolution: Climate,gglounge.pt,46.90,only 1 left in stock,57.73,esgotado,,,65.99,em stock,62.95,en reposicin,,,,,,,,,,,46.90,only 1 left in stock,,,,,,,,,,
Fairy Tale,gameplay.pt,19.95,em stock,,,,,19.95,em stock,19.95,en reposicin,,,,,19.95,  ltimas unidades en stock,,,,,,,,,,,,,,,,
Fine Sand,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imhotep,jogonamesa.pt,34.85,esgotado,34.85,esgotado,,,39.99,ltima unidade em stock,,,,,,,,,37.01,em stock,,,,,,,,,39.95,adicionar ao carrinho,,,,
Imperium: Classics,jogonamesa.pt,33.94,em 30 dias,33.94,em 30 dias,,,39.99,em stock,35.95,en reposicin,,,,,39.95,  ltimas unidades en stock,,,,,39.90,only 2 left in stock,,,,,,,,,,
Juicy Fruits,www.ajogar.com,29.90,esgotado,30.04,em 9 dias,,,,,31.46,en reposicin,,,,,,,,,,,,,,,,,29.90,esgotado,,,,
Kingdomino,dracotienda.com,17.95,  disponible,19.00,imediata,,,19.95,em stock,19.76,en stock,,,24.59, esgotado,17.95,  disponible,24.57,em stock,,,18.90,only 2 left in stock,,,,,,,21.95, em stock  ,,
Last Will,jogonamesa.pt,31.09,em 22 dias,31.09,em 22 dias,,,35.95,ltima unidade em stock,34.19,en reposicin,,,,,37.95,  fuera de stock,,,,,,,,,,,,,35.95, em stock  ,,
Linko!,jogonamesa.pt,10.47,em 22 dias,10.47,em 22 dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Letter,gglounge.pt,13.90,only 2 left in stock,14.00,imediata,19.95,in stock,18.95,em stock,,,18.99,disponvel,19.99, ltimos artigos em stock,,,,,,,13.90,only 2 left in stock,,,,,13.65,esgotado,16.95, em stock,,
Luxor,juegosdelamesaredonda.com,34.15,en reposicin,45.00,imediata,,,44.99,esgotado,34.15,en reposicin,,,,,36.95,  fuera de stock,49.99,em stock,,,,,,,,,,,,,,
Masters of Mutanite,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 1901,arenaporto.com,26.24, esgotado,,,,,35.00,,31.49,en stock,,,26.24, esgotado,31.50,  disponible,54.10,produto sob pedido,,,,,,,,,,,34.95, em stock  ,,
Oceans,gglounge.pt,38.90,out of stock,50.70,esgotado,,,54.99,em stock,,,,,,,53.98,  disponible,,,,,38.90,out of stock,,,,,,,,,,
Oceans Deluxe,gameplay.pt,95.90,ltima unidade em stock,,,,,95.90,ltima unidade em stock,,,,,,,,,,,,,,,,,,,,,,,,
Oh My Goods!,www.ajogar.com,10.90,esgotado,11.69,esgotado,,,16.95,em stock,13.46,en stock,,,,,12.99,  disponible,12.34,apenas 2 em stock mais a caminho,,,,,,,,,10.90,esgotado,14.95,esgotado,,
Orléans,juegosdelamesaredonda.com,40.50,en reposicin,42.00,imediata,,,49.95,restock,40.50,en reposicin,,,59.99, esgotado,44.95,  ltimas unidades en stock,,,,,47.50,only 1 left in stock,,,,,,,49.95, em stock,,
PARKS,jogonamesa.pt,48.00,imediata,48.00,imediata,,,53.95,em stock,,,,,59.99, esgotado,,,49.62,apenas 1 em stock,,,53.90,out of stock,,,,,,,53.95,esgotado,,
Pipeline,dracotienda.com,46.79,  fuera de stock,59.25,esgotado,,,,,59.59,en reposicin,,,74.99, ltimos artigos em stock,46.79,  fuera de stock,,,,,,,,,,,,,,,56.99, esgotado
Railroad Ink: Deep Blue Edition,juegosdelamesaredonda.com,13.46,en stock,18.84,em 30 dias,,,20.99,em stock,13.46,en stock,19.99,disponivel,19.99, esgotado,14.99,  disponible,,,,,,,,,,,,,19.95, em stock  ,,
Res Arcana,juegosdelamesaredonda.com,31.46,en reposicin,33.80,esgotado,39.95,delivery in 1 to 2 weeks time,39.95,em stock,31.46,en reposicin,,,,,,,45.51,estimativa de envio de 3 a 4 dias,,,,,,,,,38.90,esgotado,,,,
Revolver Noir,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll for the Galaxy,jogonamesa.pt,50.34,em 22 dias,50.34,em 22 dias,,,59.95,ltima unidade em stock,,,62.99,encomenda ao fornecedor,62.99, ltimos artigos em stock,59.99,  ltimas unidades en stock,,,,,58.90,out of stock,,,,,,,,,,
Royals,jogonamesa.pt,42.02,esgotado,42.02,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver & Gold,jogonamesa.pt,10.72,esgotado,10.72,esgotado,,,12.99,em stock,,,,,,,,,11.19,em stock,,,,,,,,,,,20.95, em stock,,
Splendor Marvel,jubilantsunday.com,28.30, em stock,31.86,em 23 dias,,,39.95,em stock,,,40.49,disponivel,39.99, esgotado,34.95,  fuera de stock,37.99,em stock,,,,,,,,,,,39.95, em stock,28.30, em stock
